employee_id,name,country_code,currency,salary_amount
EMP0001,Stacy Jones,USA,USD,5409.35
EMP0002,Gene Wells,ITA,EUR,12152.37
EMP0003,Sarah Chen,GBR,GBP,10197.26
EMP0004,Michael Smith,CAN,CAD,9786.75
EMP0005,Emily Johnson,AUS,AUD,8657.44
EMP0006,David Williams,FRA,EUR,13839.21
EMP0007,Lisa Brown,DEU,EUR,3925.93
EMP0008,James Davis,JPN,JPY,7211.96
EMP0009,Maria Miller,SGP,SGD,9219.97
EMP0010,Robert Wilson,NLD,EUR,6660.89
EMP0011,Jennifer Moore,SWE,SEK,6015.72
EMP0012,William Taylor,CHE,CHF,3873.56
EMP0013,Patricia Anderson,USA,USD,13525.67
EMP0014,Richard Thomas,ITA,EUR,5212.77
EMP0015,Linda Jackson,GBR,GBP,13608.11
EMP0016,Joseph White,CAN,CAD,9492.06
EMP0017,Elizabeth Harris,AUS,AUD,3017.10
EMP0018,Thomas Martin,FRA,EUR,4242.29
EMP0019,Jessica Thompson,DEU,EUR,10425.55
EMP0020,Charles Garcia,JPN,JPY,11497.18
EMP0021,Susan Martinez,SGP,SGD,5053.87
EMP0022,Christopher Robinson,NLD,EUR,8528.15
EMP0023,Karen Clark,SWE,SEK,5536.08
EMP0024,Daniel Rodriguez,CHE,CHF,10780.10
EMP0025,Nancy Lewis,USA,USD,9903.13
EMP0026,Matthew Lee,ITA,EUR,4010.91
EMP0027,Betty Walker,GBR,GBP,12117.47
EMP0028,Anthony Hall,CAN,CAD,12245.17
EMP0029,Margaret Allen,AUS,AUD,4145.99
EMP0030,Mark Young,FRA,EUR,11908.07
EMP0031,Stacy Jones,DEU,EUR,8880.80
EMP0032,Gene Wells,JPN,JPY,6458.24
EMP0033,Sarah Chen,SGP,SGD,3328.00
EMP0034,Michael Smith,NLD,EUR,4575.06
EMP0035,Emily Johnson,SWE,SEK,3194.17
EMP0036,David Williams,CHE,CHF,10989.30
EMP0037,Lisa Brown,USA,USD,4553.48
EMP0038,James Davis,ITA,EUR,7196.09
EMP0039,Maria Miller,GBR,GBP,3581.96
EMP0040,Robert Wilson,CAN,CAD,3467.16
EMP0041,Jennifer Moore,AUS,AUD,3580.61
EMP0042,William Taylor,FRA,EUR,6007.77
EMP0043,Patricia Anderson,DEU,EUR,10213.48
EMP0044,Richard Thomas,JPN,JPY,6321.39
EMP0045,Linda Jackson,SGP,SGD,10353.35
EMP0046,Joseph White,NLD,EUR,12070.09
EMP0047,Elizabeth Harris,SWE,SEK,7487.41
EMP0048,Thomas Martin,CHE,CHF,8314.24
EMP0049,Jessica Thompson,USA,USD,9866.08
EMP0050,Charles Garcia,ITA,EUR,3360.73
EMP0051,Susan Martinez,GBR,GBP,4843.11
EMP0052,Christopher Robinson,CAN,CAD,14566.15
EMP0053,Karen Clark,AUS,AUD,4924.37
EMP0054,Daniel Rodriguez,FRA,EUR,12354.06
EMP0055,Nancy Lewis,DEU,EUR,13615.59
EMP0056,Matthew Lee,JPN,JPY,6111.51
EMP0057,Betty Walker,SGP,SGD,11421.23
EMP0058,Anthony Hall,NLD,EUR,7125.01
EMP0059,Margaret Allen,SWE,SEK,9424.79
EMP0060,Mark Young,CHE,CHF,6222.18
EMP0061,Stacy Jones,USA,USD,4825.87
EMP0062,Gene Wells,ITA,EUR,6411.20
EMP0063,Sarah Chen,GBR,GBP,12677.40
EMP0064,Michael Smith,CAN,CAD,14638.33
EMP0065,Emily Johnson,AUS,AUD,10432.38
EMP0066,David Williams,FRA,EUR,10936.66
EMP0067,Lisa Brown,DEU,EUR,12079.77
EMP0068,James Davis,JPN,JPY,11074.16
EMP0069,Maria Miller,SGP,SGD,13076.79
EMP0070,Robert Wilson,NLD,EUR,10140.41
EMP0071,Jennifer Moore,SWE,SEK,12094.20
EMP0072,William Taylor,CHE,CHF,7470.35
EMP0073,Patricia Anderson,USA,USD,7293.65
